track_name,artist_name,streams,stream_change,streams_7day,genre,country,pos,days,viral_score,trend,popularity_category,longevity,stream_change_direction,streams_millions,streams_7day_millions,artist_track
SWIM,BTS,11273830,-3370522,25918182,K-Pop,KR,1,2,37192012,Falling,Trending,New,Decreasing,11.27383,25.918182,BTS - SWIM
Body to Body,BTS,6815694,-4369341,18000729,K-Pop,KR,2,2,24816423,Falling,Trending,New,Decreasing,6.815694,18.000729,BTS - Body to Body
Babydoll,Dominic Fike,5733862,178968,36599831,Alternative Pop,Florida,3,119,42333693,Rising,Trending,Evergreen,Increasing,5.733862,36.599831,Dominic Fike - Babydoll
Hooligan,BTS,5338608,-3396855,14074071,K-Pop,KR,4,2,19412679,Falling,Trending,New,Decreasing,5.338608,14.074071,BTS - Hooligan
FYA,BTS,5196767,-2873904,13267438,K-Pop,KR,5,2,18464205,Falling,Trending,New,Decreasing,5.196767,13.267438,BTS - FYA
NORMAL,BTS,4749288,-2410388,11908964,K-Pop,KR,6,2,16658252,Falling,Average,New,Decreasing,4.749288,11.908964,BTS - NORMAL
Stateside + Zara Larsson (w/ Zara Larsson),PinkPantheress,4738329,-235112,34238168,Uk Garage,England,7,74,38976497,Falling,Average,Stable Hit,Decreasing,4.738329,34.238168,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson)
Aliens,BTS,4718569,-3036604,12473742,K-Pop,KR,8,2,17192311,Falling,Average,New,Decreasing,4.718569,12.473742,BTS - Aliens
2,BTS,4573989,-2809104,11957082,K-Pop,KR,9,2,16531071,Falling,Average,New,Decreasing,4.573989,11.957082,BTS - 2
Like Animals,BTS,4567309,-2259887,11394505,K-Pop,KR,10,2,15961814,Falling,Average,New,Decreasing,4.567309,11.394505,BTS - Like Animals
Merry Go Round,BTS,4490039,-2740868,11720946,K-Pop,KR,11,2,16210985,Falling,Average,New,Decreasing,4.490039,11.720946,BTS - Merry Go Round
they don’t know ’bout us,BTS,4423675,-2305775,11153125,K-Pop,KR,12,2,15576800,Falling,Average,New,Decreasing,4.423675,11.153125,BTS - they don’t know ’bout us
